Date,Open,High,Low,Close,Volume,OpenInt
2001-08-27,9.703,9.711,9.505,9.578,7053767,0
2001-08-28,9.589,9.607,9.301,9.419,6766392,0
2001-08-29,9.3972,9.3972,9.1482,9.1684,7867044,0
2001-08-30,9.0343,9.248,8.8112,8.9571,14298242,0
2001-08-31,8.8614,8.9948,8.8077,8.8836,13470603,0
2001-09-04,8.0958,8.1339,7.1767,7.2234,91018388,0
2001-09-05,7.2234,7.2724,6.5076,6.97,103998878,0
2001-09-06,6.8899,7.0123,6.5837,6.7748,48654515,0
2001-09-07,6.6796,6.9209,6.668,6.9209,44279615,0
2001-09-10,6.8899,6.9586,6.7019,6.8476,34784204,0
2001-09-17,6.1437,6.408,5.9327,6.1322,47542375,0
2001-09-18,6.1322,6.2013,6.0864,6.2013,35228851,0
2001-09-19,6.2013,6.2051,5.7109,5.8947,47718457,0
2001-09-20,5.7028,5.8564,5.5002,5.5503,30561091,0
2001-09-21,5.0719,5.9327,4.7849,5.7265,52675161,0
2001-09-24,6.0366,6.1624,5.9327,6.1624,45232917,0
2001-09-25,6.0864,6.2013,6.0284,6.1285,33488919,0
2001-09-26,6.2205,6.2856,6.0094,6.1247,34334068,0
2001-09-27,6.1624,6.2165,5.9445,6.2013,28799482,0
2001-09-28,6.2013,6.2235,6.0322,6.1437,22982476,0
2001-10-01,6.0864,6.1932,5.7421,5.9708,20839697,0
2001-10-02,5.8564,5.975,5.7265,5.8371,33979028,0
2001-10-03,5.7421,6.1856,5.6842,6.1247,36193131,0
2001-10-04,6.1285,6.3998,6.048,6.1247,38794662,0
2001-10-05,5.9708,6.297,5.9708,6.297,28933762,0
2001-10-08,6.2389,6.5994,6.1247,6.4879,21744925,0
2001-10-09,6.4879,6.5032,6.347,6.3998,23754209,0
2001-10-10,6.3998,6.6033,6.3542,6.5076,24107943,0
2001-10-11,6.6796,6.9284,6.66,6.9284,31804904,0
2001-10-12,6.8513,7.0621,6.7942,7.0242,40253224,0
2001-10-15,6.9661,7.0203,6.8899,6.9358,17667589,0
2001-10-16,7.0621,7.158,6.9209,7.0817,17401642,0
2001-10-17,7.158,7.1767,6.8743,6.8941,20921720,0
2001-10-18,6.7748,6.8401,6.698,6.7371,30965506,0
2001-10-19,6.79,7.0242,6.6639,6.9937,20930873,0
2001-10-22,6.8899,7.0203,6.8705,7.0051,18738979,0
2001-10-23,7.0051,7.158,6.8136,6.859,27176325,0
2001-10-24,6.8513,6.9435,6.7019,6.8976,21904549,0
2001-10-25,6.8136,6.9858,6.6914,6.9435,23482245,0
2001-10-26,6.8324,6.9209,6.7748,6.8324,19173175,0
2001-10-29,6.7942,6.8285,6.6451,6.66,19447491,0
2001-10-30,6.6033,6.6033,6.438,6.4957,20647671,0
2001-10-31,6.5457,6.7332,6.3962,6.442,17180097,0
2001-11-01,6.442,6.6756,6.3615,6.6217,15400981,0
2001-11-02,6.4309,6.5076,6.3923,6.4766,24656563,0
2001-11-05,6.4499,6.5837,6.4113,6.4647,22945112,0
2001-11-06,6.4689,7.6704,6.4537,7.5825,90118115,0
2001-11-07,7.6548,7.6548,7.2766,7.3416,55430569,0
2001-11-08,7.2925,7.3109,7.0085,7.0242,35389519,0
2001-11-09,7.0242,7.3877,7.0051,7.2687,20634610,0
2001-11-12,7.2338,7.4261,7.0621,7.3877,17965676,0
2001-11-13,7.4642,7.809,7.4524,7.7433,30665072,0
2001-11-14,8.7463,8.9341,8.2068,8.4515,63799733,0
